-*- mode: compilation; default-directory: "~/playground/simalloc/" -*-
Compilation started at Thu Feb 20 13:47:14

cd /home/gjrijowa/playground/simalloc/ && RUSTFLAGS="-C target-cpu=native" cargo build --release && ./target/release/simalloc 
    Finished `release` profile [optimized] target(s) in 0.01s
Howdy, world!
sc    slotsize   l     fifoarea   eaws  ptrs  slabsize   total            vbu                     
1     2 B        2     128.0 kiB  3     4     128.0 kiB  256.0 kiB (19b 18.00003852359945b) 64.0 MiB (27b 26.00003852359945b)
2     3 B        2     128.0 kiB  3     4     192.0 kiB  320.0 kiB (19b 18.321958913849215b) 144.0 MiB (28b 27.16995924469262b)
3     4 B        2     128.0 kiB  3     4     256.0 kiB  384.0 kiB (19b 18.584988183235087b) 240.0 MiB (28b 27.906921414570373b)
4     5 B        2     128.0 kiB  3     4     320.0 kiB  448.0 kiB (19b 18.807376935668966b) 352.0 MiB (29b 28.45945963590255b)
5     6 B        2     128.0 kiB  3     4     384.0 kiB  512.0 kiB (20b 19.00001926192831b) 480.0 MiB (29b 28.90691627812245b)
6     7 B        2     128.0 kiB  3     4     448.0 kiB  576.0 kiB (20b 19.169942123169065b) 624.0 MiB (30b 29.285425925814415b)
7     8 B        2     128.0 kiB  3     4     512.0 kiB  640.0 kiB (20b 19.321943504450584b) 784.0 MiB (30b 29.614731857726568b)
8     9 B        2     128.0 kiB  3     4     576.0 kiB  704.0 kiB (20b 19.459445627337935b) 0.9 GiB (30b 29.906911141656238b)
9     10 B       2     128.0 kiB  3     4     640.0 kiB  768.0 kiB (20b 19.58497534203527b) 1.1 GiB (31b 30.16994426337062b)
10    12 B       2     128.0 kiB  3     4     768.0 kiB  896.0 kiB (20b 19.80736592890527b) 1.3 GiB (31b 30.42628267278329b)
11    16 B       2     128.0 kiB  3     4     1.0 MiB    1.1 MiB (21b 20.16993356233109b) 1.6 GiB (31b 30.700456016712554b)
12    21 B       2     128.0 kiB  3     4     1.3 MiB    1.4 MiB (21b 20.523568655887335b) 2.0 GiB (31b 30.98869924699367b)
13    32 B       2     128.0 kiB  3     4     2.0 MiB    2.1 MiB (22b 21.0874673734919b) 2.5 GiB (32b 31.330929320631878b)
14    64 B       2     128.0 kiB  3     4     4.0 MiB    4.1 MiB (23b 22.04439645415134b) 3.5 GiB (32b 31.826557991005746b)
15    128 B      2     128.0 kiB  3     4     8.0 MiB    8.1 MiB (24b 23.022368998385314b) 5.6 GiB (33b 32.47978673865555b)
16    256 B      2     128.0 kiB  3     4     16.0 MiB   16.1 MiB (25b 24.011227852696212b) 9.6 GiB (34b 33.2644466092345b)
17    512 B      2     128.0 kiB  3     4     32.0 MiB   32.1 MiB (26b 25.005624848992397b) 17.6 GiB (35b 34.14083209108977b)
18    1.0 kiB    2     128.0 kiB  3     4     64.0 MiB   64.1 MiB (27b 26.002815165798523b) 33.7 GiB (36b 35.073473441092446b)
19    2.0 kiB    2     128.0 kiB  3     4     128.0 MiB  128.1 MiB (28b 27.00140826956181b) 65.7 GiB (37b 36.03789078141645b)
20    4.0 kiB    2     128.0 kiB  3     4     256.0 MiB  256.1 MiB (29b 28.00070430661409b) 129.7 GiB (38b 37.01941735412673b)
21    8.0 kiB    2     128.0 kiB  3     4     512.0 MiB  512.1 MiB (30b 29.00035219628631b) 257.8 GiB (39b 38.009916268140614b)
